Hello!	Sveiki!
He came from a tiny mountain town.	Viņš nāca no mazas kalnu pilsētiņas.
He knows everything about Germany.	Viņš zin visu par Vāciju.
I had a horrible dream last night.	Man bija slikts sapnis pagājušajā naktī.
It's great! You'll laugh for sure.	Tas ir lieliski! Jūs smieties, noteikti.
My uncle lives next to the school.	Mans onkulis dzīvo blakus skolai.
The plate slipped out of my hands.	Šķīvis izslīdēja viņam no rokām.
The teacher told us a funny story.	Skolotājs mums izstāstīja smieklīgu stāstu.
We have a lot of snow in February.	Februārī mums ir daudz sniega.
What's the best sleeping position?	Kāds ir labākais gulēšanas veids?
What's the title of your new book?	Kāds ir Tavas jaunās grāmatas nosaukums?
You've got a great sense of humor.	Tev piemīt lieliska humora izjūta.
Choose the color you like the best.	Izvēlies krāsu, kura tev patīk vislabāk.
Helsinki is the capital of Finland.	Helsinki ir Somijas galvaspilsēta.
I can't understand why he did that.	Es nesaprotu kāpēc viņš tā darija.
I don't want to get you in trouble.	Es nevēlos tevi ievilkt nepatikšanās.
I know that money isn't everything.	Es zinu, ka nauda nav viss.
I love you and I want to marry you.	Es mīlu tevi un gribu tevi precēt.
I want you to know that I love you.	Es gribu lai tu zini ka es tevi mīlu.
I was glad to hear of your success.	Es priecājos dzirdēt par taviem panākumiem.
I'll always remember your kindness.	Es vienmēr atcerēšos tavu laipnību.
It's not much of a surprise, is it?	Tas nav daudz priekš pārsteiguma, vai ne?
It's too dark to play baseball now.	Ir pārāk tumšs, lai tagad spēlētu beisbolu.
Not all Germans like to drink beer.	Ne visiem Vāciem patīk dzert alu.
This problem is difficult to solve.	Šo problēmu ir grūti atrisināt.
Tom bought new laces for his shoes.	Toms nopirka jaunas šņores savām kurpēm.
Tom enjoys listening to live music.	Toms patīk klausīties dzīvajā mūzikā.
You don't seem too happy to see me.	Tu neizskaties priecīgs mani redzot.
He came in and immediately sat down.	Viņš atnāca un uzreiz apsēdās.
How often do you use your telephone?	Cik bieži tu izmanto savu telefonu?
How often should you wash your hair?	Cik bieži vajadzētu mazgāt matus.
How well do you know your neighbors?	Cik labi tu pazīst savus kaimiņus?
How will we get this done by Monday?	Kā mēs paspēsim to izdarīt līdz pirmdienai?
How will we overcome these problems?	Kā mēs parvarēsim šo problēmu?
How worried should we be about that?	Cik noraizējušiem mums vajadzētu būt par to?
How would you handle this situation?	Kā tu tiktu galā ar šo situāciju?
How would your friends describe you?	Kā tavi draugi tevi aprakstītu?
I thought that I put it right there.	Man likās, ka es to noliku tur.
I want you to take it away from Tom.	Es gribu lai tu to paņēm no Toma.
I won't ask you anything else today.	Es tev šodien neko citu neprasīšu.
Mother is in bed. She caught a cold.	Māte ir gultā. Viņai ir temperatūra.
Please go to the playground to play.	Lūdzu ej uz spēļu laukumu spēlēties.
The Rosetta Stone was found in 1799.	Rosetta akmens tika atrasts 1799.
The fund was set up to help orphans.	Fonds tika izveidots, lai palīdzētu bāreņiem.
The white boat went down the stream.	Baltā laiva devās lejup pa straumi.
This wasn't an easy decision for us.	Šis mums nebija viegls lēmums.
To be honest, I don't understand it.	Godīgi sakot, es to nesaprotu.
To tell the truth, I don't like him.	Es saku taisnību man viņš nepatīk.
Tom was never very friendly to Mary.	Toms nekad nebija draudzīgs pret Mariju.
Tom wasn't the one who gave me that.	Toms nebija tas kurš man to iedeva.
Tom wasn't the one who told me that.	Toms nebija tas kurš to man pateica.
We want to take your blood pressure.	Mēs vēlamies pārbaudīt jūsu asinsspiedienu.
What do you think of our collection?	Ko tu domā par mūsu kolekciu?
Why are people afraid of the police?	Kāpēc cilvēki baidās no policijas?
You may come with us if you want to.	Tu vari nākt ar mums, ja vēlies.
Are you saying that Tom is a traitor?	Vai tu saki, ka Toms ir nodevējs?
Have you noticed anything suspicious?	Vai tu esi ievērojis kaut ko aizdomīgu.
I can't believe Tom really said that.	Es nespēju noticēt ka Toms to pateica.
I didn't want to tell Tom about this.	Es nevēlējos Tomam stāstīt par šo.
I don't think Tom would've done that.	Es domāju ka Toms to nebūtu darijis.
I'm sorry. I didn't do it on purpose.	Man žēl. Es to negribēju darīt ar nolūku.
One cannot embrace the unembraceable.	Neviens nevar apskaut neapskaujamo.
That's the question we have to solve.	Tas ir jautājums, kuru mums ir jāatrisina.
Tom is hoping that Mary will do that.	Toms cer, ka Marija to izdarīs.
Tom pushed Mary off the diving board.	Toms nogrūda Mēriju no tramplīna.
We don't want anyone to find us here.	Mēs negribam lai mūs šeit kāds atrod.
How did you know Tom was going to die?	Kā tu zināji ka Toms nomirs?
I asked him where I could park my car.	Es viņam jautāju, kur es varētu novietot mašīnu.
I never dreamed that I would meet you.	Es nekad nesapņoju ka tevi satikšu.
I wonder how much you know about this.	Es domāju cik daudz tu zini par šo.
I'll be out of town until next Monday.	Es būšū izbraucis līdz nākošajai pirmdienai.
I'm getting tired of your complaining.	Es sāku nogurt no taviem parmetumiem.
I'm too old to do something like that.	Es esmu par vecu lai darītu kautko tādu.
I've already seen that movie, I think.	Es domāju ka es esmu jau redzējis to filmu.
I've probably already seen that movie.	Es drošivien esmu jau redzējis to filmu.
There is a traffic jam on the highway.	Uz šosejas ir satiksmes sastrēgums.
This book isn't as heavy as that book.	Šī grāmata nav tik smaga kā tā grāmata.
Tom almost always goes to work by car.	Toms gandrīz vienmēr uz darbu dodas ar mašīnu.
Tom cut the wire and defused the bomb.	Toms pārgrieza vadu un atmīnēja bumbu.
Watch your step. The stairs are steep.	Skaties, kur liec kāju. Kāpnes ir stāvas.
We should lock the door when we leave.	Mums vajadzētu aizslēgt durvis, kad mēs aizejam.
Whatever you do, don't pull this rope.	Lai ko tu darītu, nevelc šo virvi!
Would you like to drink a bit tonight?	Vai tu gribētu dzert šovakar?
Are you going to eat that piece of pie?	Vai tu ēdīsi to pīrāga gabalu?
I didn't like my name when I was young.	Man nepatika mans vārds, kad es biju jauns.
I found the key in Tom's jacket pocket.	Es atradu atslēgu Toma jakas kabatā.
I want to send this by registered mail.	Es gribu nosūtīt šo no reģistrēta epasta.
She advised him to cut down on smoking.	Viņa ieteica viņam mazāk smēķēt.
The child was hiding behind a big tree.	Bērns slēpās aiz liela koka.
The child was hiding behind a big tree.	Bērns slēpās aiz lielā koka.
Tom also teaches geography and history.	Toms arī pasniedz ģeogrāfiju un vēsturi.
We had to wait for him for ten minutes.	Mums vajadzēja viņu gaidīt desmit minūtes.
Do you think I haven't anticipated that?	Tu domā ka es to negaidiju.
The last time I saw Tom he was barefoot.	Pēdējo reizi, kad es redzēju Tomu, viņš bija basām kājām.
There are more important things in life.	Dzīvē ir svarīgākas lietas.
Why do you care what other people think?	Kāpēc tu uztraucies ko cilvēki domā?
A green banana is not ripe enough to eat.	Zaļš banāns nav pietiekoši nogatavojies, lai to ēstu.
Could you teach me how to play the piano?	Vai tu man iemācīsi kā spēlēt klavieres?
He goes to sleep with the lights left on.	Viņš iet gulēt, atstājot gaismas ieslēgtas.
He told me to meet him at the restaurant.	Viņš pateica lai es viņu satieku restorānā.
I clicked the link, but nothing happened.	Es klikšķināju uz mājaslapas, bet nekas nenotika.
I pray that you'll have the best of luck.	Es lūdzu, lai jums būtu veiksme.
That's mine. I don't know where yours is.	Tas ir mans. Es nezinu, kur ir tavs.
This is the house where she used to live.	Šī ir tā māja kurā viņa dzīvoja.
You've bitten off more than you can chew.	Tu esi nokodies vairāk nekā tu vari sakošļāt.
I want the same jacket as you are wearing.	Es gribu to pašu jaku, kuru tu valkā.
In comparison with Tokyo, London is small.	Salīdzinājumā ar Tokiju, Londona ir maza.
Let me introduce you to my beautiful wife.	Ļauj mani iepazīstināt ar manu skaisto sievu.
That guy got married and started a family.	Tas vīrietis apprecējās un sāka dibināt ģimeni
Tom promised to give me anything I wanted.	Toms man apsolīja dot visu ko es gribu.
He looked small next to my heavyset father.	Viņš izskatījās mazs stāvot blakus manam lielajam tēvam.
He was standing at the top of the mountain.	Viņš stāvēja kalna galotnē.
I don't want to hear another word about it!	Es nevēlos dzirdēt nevienu vārdu par to!
If he'd known the truth, he'd have told me.	Ja viņš būtu zinājis patiesību, viņš man būtu pateicis.
There used to be big trees around the pond.	Apkārt dīķim kādreiz bija lieli koki.
We also did amputations. We had to do them.	Mēs arī veicām amputācijas. Mums tas bija jādara.
As soon as the dog saw me, it began to bark.	Tiklīdz kā suns mani ieraudzīja, tas sāka riet.
He has been studying French for eight years.	Viņš ir mācījies Franču valodu astoņus gadus.
I'll tell you everything from the beginning.	Es tev izstāstīšu visu no paša sākuma.
My hobby is taking pictures of wild flowers.	Mans hobijs ir fotografēt savvaļas puķes.
Real friendship is more valuable than money.	Patiesa draudzība ir vērtīgāka par naudu.
The police got to the scene of the accident.	Policija nokļuva negadījuma vietā.
Tom plays the guitar almost as well as Mary.	Toms spēlē ģitāru gandrīz tikpat labi kā Marija.
Tom pushed the button, but nothing happened.	Toms piespieda pogu, bet nekas nenotika.
What is the unemployment rate at the moment?	Kāds šobrīd ir bezdarba līmenis?
Are there any Japanese restaurants near here?	Vai šeit tuvumā ir kāds Japāņu restorāns?
Even though he apologized, I'm still furious.	Pat tad kad viņš atvainojis es joprojām esmu nikns.
She made a promise to write to me every week.	Viņa man solīja rakstīt katru nedēļu.
Will you take care of my dog while I am away?	Vai tu parūpēsies par manu suni kamēr es būšu prom?
You'll have to learn all these dates by rote.	Tev būs jāpatur prātā visi šie datumi.
How can you avoid the dangers of the Internet?	Kā var izvairīties no briesmām no interneta.
People die, but the things they create endure.	Cilvēki mirst, bet liekas, kuras viņi rada, paliek.
She walked past him without even noticing him.	Viņa pagāja viņam garām, pat viņu neievērojot.
They wanted to live in peace with the Indians.	Viņi ar Indiāņiem gribēja dzīvot mierā.
This medicine is still not sold in pharmacies.	Šīs zāles joprojām netiek pārdotas aptiekās.
He's making a lot of money in the stock market.	Viņš pelna daudz naudas akciju tirgū.
My uncle lives in Madrid, the capital of Spain.	Mans onkulis dzīvo Madridē, galvas pilsētā Spānijā.
Sometimes things that happen do not make sense.	Dažreiz notiekošais ir neizprotams.
When I got home, I had a nice, ice-cold shower.	Kad es tiku mājās, es iegāju jaukā, ledainā dušā.
Do you really have free tickets for the concert?	Vai patiešām ir bezmaksas biļetes uz šo koncertu.
His words excited everyone, even the opposition.	Viņa vārdi aizrāva visus, pat opozīciju.
I can't go to work today because I have the flu.	Es nevaru šodien iet uz darbu, jo man ir gripa.
I feel the need to do something different today.	Es jūtu vajadzību darīt kautko citu šodien.
She asked him to stay, but he had to go to work.	Viņa lūdza viņam palikt, bet viņam bija jāiet uz darbu.
That guy is always asking his parents for money.	Tas puisis vienmēr prasa viņa vecākiem naudu.
You will soon get accustomed to your new school.	Tu drīz iejutīsies savā jaunajā skolā.
Everyone's waiting to see what's going to happen.	Visi gaida, lai redzētu, kas notiks.
This is the pen that he signed the document with.	Šī ir tā pildspalva ar kuru viņš parakstīja dokumentus.
Tom plays the guitar almost as well as Mary does.	Toms spēlē ģitāru gandrīz tikpat labi kā Marija.
A gang of three robbed the bank in broad daylight.	Trīs cilvēku banda skaidrā dienas laikā aplaupīja banku.
I did not watch TV but studied English last night.	Es vakarnakt neskatījos televizoru, bet mācījos angļu valodu.
I hate when other people make me wait a long time.	Man nepatīk, ka citi cilvēki liek man ilgi gaidīt.
My physics teacher doesn't care if I skip classes.	Man fizikas skolotāju neuztrauc ja es bastoju stundas.
We wondered what would happen after Tom showed up.	Mēs prātoju, kas notiktu pēc tam, kad Toms atnāktu.
Tom didn't know that Mary had already bought bread.	Toms nezināja, ka Marija jau bija nopirkusi maizi.
I assumed there must be something else we had to do.	Es pieņemu, ka bija vēl kaut kas, ko mums vajadzēja izdarīt.
The front windshield of a car was smashed to pieces.	Automašīnas vējstikls tika sadauzīts gabalos.
We shouldn't judge people based on their appearance.	Mums nevajadzētu spriest par cilvēkiem, balstoties uz to, kā viņi izskatās.
Addition and subtraction are functions of mathematics.	Saskaitīšana un atņemšana ir matemātiskās funkcijas.
Tom is left-handed, but he writes with his right hand.	Toms ir kreilis, bet viņš raksta ar labo roku.
Can you remember the first word you learned in English?	Vai tu atceries pirmo vārdu, kuru tu iemācījies angļu valodā?
Finishing the report by tomorrow is next to impossible.	Līdz rītdienai pabeigt atskaiti ir gandrīz neiespējami.
Small businesses are often absorbed by a major company.	Mazus uzņēmumus bieži pārņem liela kompānija.
He is not the sort of man who counts on others for help.	Viņš nav tāds cilvēks, kurš paļaujas uz citu palīdzību.
I had a feeling something like that was going to happen.	Man bija priekšnojauta, ka kaut kas tāds notiks.
It was such an interesting book that I read it in a day.	Tā bija tik interesanta grāmata, ka es to izlasīju vienā dienā.
"Could you do this instead of me?" "Sorry, I'm too busy."	''Vai tu to varētu izdarīt manā vietā?'' ''Piedod, es esmu pārāk aizņemts.''
What percentage of the students are admitted to colleges?	Procentuāli cik studentu tiek uzņemti koledžās?
He was wearing black trousers and a beautiful white shirt.	Viņš valkāja melnas bikses un skaistu baltu kreklu.
It almost scared me not to see you online for a whole day.	Neredzot tiešsaistē veselu dienu, tu mani gandrīz pārbiedēji.
Now's the time to decide if you want to go with us or not.	Tagad ir laiks izlemtu vai tu vēlies iet ar mums, vai nē.
He's a good guy now, so he'll make a good husband in the future.	Viņš ir labs vīrietis tagad tātad viņš būs labs vīrs nākotnē.
Tom put his bags in the trunk, then hopped in the car and drove off.	Toms ielika savas somas bagāžniekā, tad ieleca mašīnā un aizbrauca.
I hate myself for not having the will power to quit eating junk food.	Es ienīstu sevi, ka man nav gribasspēka atmests ātro ēdienu ēšanu.
I wonder if keeping your head down and living safely is a survival instinct.	Es brīnos, ja turot savu galvu uz leju un dzīvojot droši ir izdzīvošanas instinkts?
You need to stop talking all the time and start listening to what others say.	Tev vajadzētu beigt runāt visu laiku un sākt klausīties to, ko es saku.
What I really want is for Tom to teach me how to play a few chords on my guitar.	Ko es patiešām gribu, lai Toms man iemāca, kā spēlēt dažus akordus uz mana ģitāras.
