Go.	Dža.
Tom doesn't have any place to live.	O Tom naj les jekh than te bêšêl.
Tom doesn't know why Mary left him.	O Tom na žanel sostar i Mary muklas les.
Tom has gotten used to living here.	O Tom sas sikado te trajil akathe.
Tom has gotten used to living here.	O Tom sas sikado te bêšêl akathe.
Tom hasn't told me who helped Mary.	O Tom či phendas mange kon ažutisardas Maria.
Tom is doing this for his children.	O Tom kerel les peske šavořênge.
Tom is enjoying his life in Boston.	Drago le Tomeske pesko trajo ane Boston.
You can tell Tom whatever you like.	Šaj te phenes le Tomeske sogodi te kames.
You need to talk to Tom personally.	Trubus te des duma le Tomesa personalo.
You need to talk to Tom personally.	Trubus te des svato le Tomesa šoresa.
You need to talk to Tom personally.	Trubus te des vorba le Tomesa šoreja.
Do you know when Tom plans to leave?	Žanes kana o Tom suřučisarel te žal tar?
Don't say anything without thinking.	Na phen khanči bi te gindis.
Tom didn't have much money with him.	Tom naj sas les but love.
Tom immediately asked Mary to leave.	O Tom odma pušlas le Mariatar te žal tar.
Tom likes studying French with Mary.	Drago le Tomeske te siǩol francusicka le Mariasa.
Tom likes studying French with Mary.	Drago le Tomeske te sičol francusicka le Mariasa.
Tom probably knows where Mary lives.	O tom žanel amborim kaj bešel i Mary.
Tom probably knows where Mary works.	O tom žanel amborim kaj kerel buči i Mary.
Tom said Mary couldn't speak French.	O Tom phendas ke i Mary naštisardas te del duma francusicka.
Tom was very sure he had to do that.	O Tom sas but siguro ke musaj sas leske te kerel les.
Tom was very sure he had to do that.	O Tom sas but siguro ke trubusardas te kerel les.
Why did Tom think he had to do that?	Sostar o Tom gindisardas ke trubusardas te kerel les?
Tom did that without saying anything.	O Tom kerdas les bi te phenel khanči.
Tom is feeling a little better today.	Tom si maj mišto adžes.
My uncle died of cancer two years ago.	Muřo kak mulo řakatar de duj berša.
Tom just left without saying anything.	O Tom ferdi geljas tar bi te phenel khanči.
Tom was very happy that Mary did that.	O Tom sas but bukurime ke i Mary kerdas les.
Tom was very happy that Mary did that.	O Tom sas but lošalo ke i Mary kerdas les.
Tom was very sure Mary should do that.	O Tom sas but siguro ke musaj sas le Mariake te kerel les.
I'm sure that Tom has to do that again.	Me som siguro ke o Tom trubul te kerel les pale.
I'm sure that Tom has to do that again.	Me som siguro ke o Tom trubul te kerel les ponevo.
Tom was just a little boy at that time.	Tom sas ferdi jekh bêjato atunča.
Tom was just a little boy at that time.	Tom sas ferdi jekh cinořo atunči.
Do you know when Tom is going to Boston?	Žanes kana o Tom žal ane Boston?
I think that Tom should do that outside.	Me gindiv ke musaj le Tomeske te kerel les avri.
I can't believe Tom did all this himself.	Me naštiv te pačav ke o Tom kerdas sa korkořo.
I can't believe Tom did all this himself.	Naštiv te paǩav ke o Tom kerdas sa korkořo.
I just went home without saying anything.	Me ferdi gelem khêrê bi te phenel khanči.
The explanation Tom gave was interesting.	I eksplikacija ke dias o Tom sas interesantni.
The explanation Tom gave was interesting.	I eksplikacija ke das o Tom sas interesantni.
The student left without saying anything.	O študento geljas tar bi te phenel khanči.
Tom was very sure Mary needed to do that.	O Tom sas but siguro ke i Mary trubusardas te kerel les.
Tom was very sure Mary wanted to do that.	O Tom sas but siguro ke i Mary kamlas te kerel les.
What do you think of that new restaurant?	So gindis pa kado restorano?
You don't need to tell me your real name.	Či trubus te phenes mange čiro čačo anav.
Do you know when Tom and Mary got married?	Žanes kana ansurisajle pe o Tom haj i Mary?
I think that what Tom told you isn't true.	Me gindiv ke so phendas tuke o Tom naj čačes.
It's hard to believe that's a coincidence.	Si pharo te pačal kaj si jekh koinčidenca.
He has no wife, no children and no friends.	Naj le či řomni, či šave haj či amala.
People talk without having anything to say.	O narodo del duma bi te si len khanči te phenel.
Tom can't see anything without his glasses.	O Tom naštil te dikhel khanči bi leske jaškengo.
Tom is the only one who knew how to do that.	Ferdi o Tom žanglas sar te kerel les.
Tom was willing to do that, but Mary wasn't.	O Tom kamlas te kerel les, numa i Mary na kamlas.
What makes you think that Tom can't do that?	Sostar gindis kaj Tom naštil te kerel les?
Tom just walked away without saying anything.	O Tom ferdi geljas tar bi te phenel khanči.
Tom was the one who told me to read this book.	Sas o Tom ke phendas mange te džinel kadi keňva.
Tom was the one who told me to read this book.	Sas o Tom ke phendas mange te čitil kadi kňiga.
The police think they caught the guy who did it.	I policija gindil ke astardas le manušes kaj kerdas les.
The police think they caught the guy who did it.	Le šingale gindin kaj astarde o manušes kaj kerdas les.
The police think they caught the guy who did it.	Le pořale gindin kaj astarde o manušes kaj kerdas les.
She handed me the letter without saying anything.	Voj das mange o lil bi te phenel khanči.
Tom said he was thinking of becoming a vegetarian.	O Tom gindisardas te avel jekh vegetarijanco.
Tom was in a fight last night and lost a few teeth.	O Tom sas ando jekh maripe arači erjat haj xasardas uni dand.
Tom was in a fight last night and lost a few teeth.	O Tom xalas pe arači erjat haj xasardas nešte dand.
I can't believe that Tom was able to do this all by himself.	Naštiv te paǩav ke o Tom daštisardas te kerel sa korkořo.
I can't believe that Tom was able to do this all by himself.	Me naštiv te pačav ke o Tom daštisardas te kerel sa korkořo.
Tom's father was the one who built the house that Tom's living in.	Sas o dad le Tomesko kaj kerdas o khêr kaj bešel o Tom andré.
