Hello!	¡Kumusta!
Let's dine out for a change.	Pangaon kitá gawas pára iba liwát.
Make sure you do that again.	Siguradoha nga himuon mo iton utro.
My wife is the boss at home.	Iton akon asawa iton mayor ha balay.
No doubt he will come later.	Waráy láin maabot hiyá niyan.
No doubt he will come later.	Sigurado maabot hiyá niyan.
No doubt she will come soon.	Waráy lain hiyá it' masunod.
The coffee is only lukewarm.	Mapaso-paso la iton kape.
The dog is trying to escape.	Naikakalagiw an áyam.
The dog is trying to escape.	Nakikalagiw an idô.
There's no life on the moon.	Waray kinabuhi ha bulan.
There's no life on the moon.	Waray may kinabuhi ha bulan.
Tom didn't know how to swim.	Diri maaram lumangoy hi Tom.
Tom doesn't have to do this.	Diri ini kinahanglan himuon ni Tom.
Tom gave me the chicken pox.	Guintapnan ak hangga ni Tom.
Tom handed Mary a brown bag.	Ginhatag ni Tom kan Mary an brawn nga bag.
Tom has left Boston already.	Lumakat na ha Boston hi Tom.
Tom is a compulsive gambler.	Parag-huygo hi Tom.
Tom is coming over tomorrow.	Hi Tom mapakanhi buwas.
Tom is coming over tomorrow.	Mapakanhi hi Tom buwas.
Tom is going to be a doctor.	Hi Tom magigin doktor.
We've arrived a little late.	Medyo urhi kami na umabot.
All my friends will be there.	Ngatanan iton ákòn mga sangkay mapakanhi.
Can I catch a taxi near here?	¿Makakakúha akó hin taxi dínhi dapit?
Can I catch a taxi near here?	¿Puyde akó dínhi dapit makakúha hin taxi?
Can I catch a taxi near here?	¿Puyde akó makakúha hin taxi harani nganhi?
Can I have a moment with you?	¿Púydi ka makaéstorya?
Do you want a spot of coffee?	¿Karuyag mo hin kape?
He is good-looking and smart.	May-hitsura niya ngan baltok.
How many mangoes do you want?	¿Pira nga mangga iton imo karuyag?
I can't just leave Tom there.	Dírì ko la puydi bayaan hi Tom dídto.
I can't wait to get in there.	Dírì ak' nakakahulat nga mahingadto na.
I cleaned up after the party.	Nanhámis akó katapos han karisyohan.
I don't have time to explain.	Waray ko panahón hin pag-explikar.
I have family in Los Angeles.	May kauropod ako ha Los Angeles.
I hope I'm not bothering you.	Unta diri ako nakakatuyaw ha imo.
I know where this is leading.	Maaram ako kun tipakain ini.
I never meant to deceive you.	Diri ko gad panuyoan nga uwaton ka.
I wonder why Tom is so angry.	Nausa ako kay-ano dawla duro't isog ni Tom.
I'll try to be there by 2:30.	Proybahan ko mahiabot ngadto hiton 2:30.
I'll try to be there by 2:30.	Testingan ko makakadto hit' 2:30.
I'm a little behind schedule.	Nauurhi ako hin gutìay hit' eskedyul.
Mozart's life was very short.	Halígut la an kinabúhì ni Mozart.
My eyesight is getting worse.	Iton ákòn pangitaan nagtitiraot.
One must love one's neighbor.	An usá kinahanglan higugmaun an iya anyaw.
Personally, I liked this one.	Ha ákòn la, karuyag ko inin.
She began to talk to the dog.	Nagtikáng hiya pakigyakan han áyam.
She put on her hat to go out.	Ginsul-ot niya an íya kalo pára gumawas.
Tell us about your childhood.	Sumáti kami hit' im' anák.
Tell us about your childhood.	Estoryahi kami hit' im' anák.
That's the part I liked best.	Amo iton iton akon karuyag gud nga parte.
The two men were not related.	Diri magkaano-ano an duha nga lalaki.
These cars are made in Japan.	Ginhímò ha Japan iní nga mga awto.
These cars are made in Japan.	Ginhímò ha Hapón iní nga mga awto.
This is the most interesting.	Amo ini it pinaka-ganado.
Tom lives in a small village.	Na-ukoy hi Tom hin gutíay nga baranggay.
Tom shouldn't have said that.	Kunta waray ádto sidnga ni Tom.
Tom's response was immediate.	Dayón an batón ni Tom.
We certainly can't blame you.	Diri gud namon ikaw puydi sayupon.
We could see nothing but fog.	Waray namon nakikita kundi burong.
We're going to the mountains.	Makadto kami ha mga bukid.
We're going to the mountains.	Tipakadto kami ha kabub'kiran.
Who told you that I was sick?	¿Hin-o an nagsumát haim nga masakít ako?
Who told you that I was sick?	¿Hin-o an nagsumàt haim nga nagkasakít ako?
You're lucky Tom didn't come.	Swerte mo waray mapakanhi hi Tom.
Do you want to know the truth?	Karuyag mo maadman iton kamatuoran?
He took a taxi to the station.	Nag-taksi hiya pa-estasyon.
He was cross with his student.	Nag-iisog hiya ha iya mga estudyanti.
How do you think you're doing?	¿It imo pag-abat maano it imo ginbubuhat?
I am singing with my children.	Nakanta ako kaupod iton akon mga anak.
I am very glad school is over.	Malipáyon gud ak' nga human na an eskuyla.
I ate too much food yesterday.	Ura-ura kadamo an pagkáon nga ákòn ginkaon kakulop..
I can eat anything but onions.	Nakaun ako bisan ano ayaw la iton sibuyas.
I never promised you anything.	Waray gud hi akó magsáad ha imo hin bisan anó.
I won't tolerate any mistakes.	Diri ko papasagdan iton bisan ano nga sayop.
It was your mistake, not mine.	Sayup nimo adto, diri akon.
Mary is respected by everyone.	Respetado hi Mary hit' ngatanan.
She will be here this evening.	Aanhi hiya niyan nga gab-i.
She will be here this evening.	Makanhi hiya niyan nga gab-i.
The day turned out to be fine.	Nagin maúpay an ádlaw.
The day turned out to be fine.	An kaádlawon naging maúpay.
The women are very supportive.	Masu'suportahon iton kababayin-an.
This house is mine, not yours.	Akon iní nga balay, dírì imo.
Tom didn't go home last night.	Waray umuli hi Tom kagab-i.
Tom does what's right for him.	Guinbuhat ni Tom an ámo para ha iya.
Tom is leaving in the morning.	Malakat hi Tom hiton aga.
Tom is leaving in the morning.	Malarga hi Tom hiton aga.
Tom said Mary wasn't his type.	Siring ni Tom, diri daw sugad kan Mary it iya karuyag.
Tom thought Mary wasn't happy.	Kasiring ni Tom diri malipayon hi Mary.
Tom walked into the drugstore.	Sumakob ha boteka hi Tom.
We need to be more aggressive.	Kinahanglan naton magin aruagresibo.
We need to be more aggressive.	Kinahanglan naton magin mas agresibo.
We'll do it when we have time.	Buhaton namon iton kun makapanahon kami.
Well, what's the problem, Tom?	¿Ano man it problema Tom?
What did you think I told Tom?	¿Ano it imo hunahuna an ginsumat ko kan Tom?
What made you do what you did?	¿Áno an nagduso haim himuon an imo binúhat?
You don't really know me, Tom.	Diri mo gud ako kilala, Tom.
You may get it free of charge.	Puydi niyo iton makuha nga waray bayad.
You may get it free of charge.	Puydi mo iton makuha nga libre.
You're sick. You have to rest.	Masakít ka. Kinahánglan mo pumahoway.
All the other windows are open.	Abredo an iba nga mga bintana.
Are you interested in politics?	Interesado ka hiton politika?
Do you want to speak privately?	Karuyag mo kita la iton mag-estorya?
Don't risk insulting your boss.	Ayaw pataka pag-insultuha tim mayor.
Don't risk insulting your boss.	Ayaw pataka pag-insultuha it imo mayor.
Get the bicycle out of the way.	Ig-iwas iton biseklita ha aragian.
Get the bicycle out of the way.	Iwasa iton bisekleta ha aragian.
He is pleased with his new car.	Kontento hiya han iya bag-o nga kotse.
He is pleased with his new car.	Kontento hiya hiton iya bag-o nga kotse.
How do we know it isn't a trap?	Panan-o man naton masasabutan nga diri iton patibong?
I can't put up with that noise.	Dírì ako makailob hiton nga aringása.
I don't like to talk about Tom.	Nadiri ako pag-estorya kan Tom.
I know that Tom didn't do that.	Maaram ako nga waray iton himua ni Tom.
I showed my ticket at the door.	Iginpakita ko an akon ticket ha may portahan.
I wish I'd bought that bicycle.	Unta ginpalit ko nala iton nga bisikleta.
Let me think for just a second.	Anay daw.
Let me think for just a second.	Anay ha.
Please follow the school rules.	Sunda iton mga balaud hiton eskuylahan.
Tell me again why you like Tom.	Sumati ako utro kay ano karuyag mo hi Tom.
Tell me again why you like Tom.	Estoryahi akoak utro kay ano naruruyag ka kan Tom.
Tell me again why you like Tom.	Saysayi ako utro rason hiton imo pagkaruyag kan Tom.
Tell me how you feel about Tom.	Sumati ako ano it imo pag-abat kan Tom.
Tell me how you feel about Tom.	Sumati ako ano it imo masisiring kan Tom.
This is what I bought in Spain.	Amo ini an akon pinalit ha Espanya.
Tom helped me find my way here.	Binuligan ak' ni Tom han pakanhi.
Tom helped me find my way here.	Binuligan ak' ni Tom pamiling han dálan pagkánhi.
Tom is very arrogant, isn't he?	Duro ka-arogante hi Tom ano?
Tom isn't wearing a belt today.	Diri nakapaha hi Tom yana nga adlaw.
Tom isn't wearing a belt today.	Diri nakasul-ot hin paha yana hi Tom.
Tom isn't wearing a belt today.	Waray magpaha hi Tom yana nga adlaw.
Tom needs somebody to help him.	Kinahanglan ni Tom nga buligan hiya hin iba.
Tom promised to tell the truth.	Nagsaad hi Tom nga isumat it' kamatuoran.
Tom said he wanted to be early.	Yakan ni Tom nga karuyag niya magin temprano.
Tom walked toward the far wall.	Naglakat hi Tom pakadto han harayu na pader.
Tom will go to Boston tomorrow.	Makadto hi Tom ha Boston buwas.
Tom will go to Boston tomorrow.	Makadto ha Boston buwas hi Tom.
Tom will go to Boston tomorrow.	Buwas mapa-Boston hi Tom.
Where are you guys heading now?	¿Mapakaín naman kamó yanâ?
Why did you buy all this stuff?	Kay ano ginpinanmalit mo ini?
A poor workman blames his tools.	Iton pobre nga trabahador ginbabasol an iya mga gamit.
A poor workman blames his tools.	An pobre nga trabahador ginbabasol an iya mga gamit.
Are we likely to arrive in time?	¿Makaarabot kitá ha oras?
Didn't Tom tell you I was dying?	¿Waray igsumat ha imo ni Tom nga naghihimatay na ako?
Fresh vegetables promote health.	Nakakaupay ha lawas iton presko nga mga utanon.
I didn't kiss him. He kissed me.	Waray ko hiya haruki. Hiya an humarok ha akon.
I don't want to forget anything.	Diri ko karuyag makalim'tan iton bisan ano.
I had a telephone call from her.	May-ada akó táwag tikang ha íya.
I haven't washed the dishes yet.	Waray pa ako manhugas han plato.
I pretended I didn't understand.	Nagpanggap ako nga diri ako nakakasabot.
I want to get in touch with her.	Karuyag ko hiya ma-kontak.
I'm roughly the same age as you.	Baga'n magka-edad la kita.
My dog follows me wherever I go.	Sige iton suno-sunod hiton akon ayam bisan ako mapakain.
She introduced me to her sister.	Iginpakilala niya ako ha iya bugto nga babaye.
That's a very personal question.	Personal hin duro iton na pakiana.
The ship slowly started to move.	Hinay-hinay gumikan an barko.
The train has just arrived here.	Umabot pala an tren nganhi.
This is all I ever wanted to do.	Amu ini an akun karuyag gud himuon.
This matter doesn't concern you.	Waray hini nga butang labut ha imo.
This stool needs to be repaired.	Kinahanglan aydon ini nga lingkúran.
Tom is afraid of his own shadow.	Nahadlok hi Tom hiton iya kalugaringon lambong.
Tom needs the money desperately.	Duro gud iton panginahanglanon ni Tom hin kwarta.
Tom quickly learned how to swim.	Nahibaro dayon paglangoy hi Tom.
We have other things to discuss.	May-ada naton iba nga mga butang nga pag-eerestoryahan.
What happened to you last night?	¿Anó an nahinabô ha imo kagab-i?
Why doesn't Tom want to do that?	Kay-ano nadiri hi Tom nga himuon iton?
You may go home now if you like.	Puyde ka na umuli yana kun karuyagon nimo.
You must really like doing that.	Karuyag mo gud talaga iton buhaton.
Are there many museums in Boston?	Damo iton museyo ha Boston?
Do you know who wrote this novel?	¿Maáram ka kun hin-o an nagsurat hiní nga nobela?
Don't get that close to the fire.	Ayáw paghiraní ha kalayo.
Don't take it quite so literally.	Ayaw iton igliteral.
He can't afford to buy a new car.	Dírì niya apong makapalit hin bag-o nga kotse.
He can't afford to buy a new car.	Dírì niya sadang makapalit hin bág-o nga kotse.
He can't afford to buy a new car.	Dírì hiyá makaparalit hin bág-o nga kotse.
He pressed the button and waited.	Ginpindut niya an pindutan ngan naghulat.
He was taken away by a policeman.	Gindara hiyá hin pulis.
I already talked to this student.	Nakig-estorya na ako hiton nga estudyante.
I don't know what to do tomorrow.	Diri ako maaram hiton bubuhaton buwas.
I don't owe Tom any explanations.	Diri ako obligado mag-eksplikar kan Tom.
I don't want to talk about music.	Nadiri akó makig-estorya bahín hit' musika.
I have a lot of responsibilities.	Damo iton akon responsibilidad.
I told you I didn't see anything.	Siríng ko ha imo waray ko nakit-an.
I'm assuming this is your father.	It ak pag-ábat amo inin hiya it imu tatay.
Is it possible to cry underwater?	Possible ba tumuok ha ilarum hiton tubig?
Let's not talk about my problems.	Ayaw kita pag-estorya mahitungod tak mga problema.
Nobody's accusing you of a crime.	Waray nag-aakusar haim hin krimen.
Now tell us what we want to know.	Yana sumati kami ano iton amon karuyag maaraman.
Please breathe through your nose.	Ginhawa ha imo irong.
Please excuse my bad handwriting.	Pasensiya la hit ak maraksut nga agi.
That's a waste of time and money.	Kinaragkarag la iton hit' panahón ngan kwárta.
The meeting took place yesterday.	Kakulop an kirigta.
The meeting took place yesterday.	Kakulop nahinabô an kirigta.
The sun will set tonight at 6:03.	Mawara na it adlaw niyan na alas sais tres.
They shook hands with each other.	Naglamano hira.
This doll is a gift from my aunt.	In' nga munyika regalo t'ak' dada.
This doll is a gift from my aunt.	Inin nga munyika regalo hit akun dada.
Tom has been missing three weeks.	Tuló na kasimana nawawara hi Tom.
Tom has been sick a lot recently.	Masakitnon han yana hi Tom.
Tom seemed very tired, didn't he?	Baga hin ura-ura kaguol ni Tom, anó?
Try to get here on time tomorrow.	Pruybahi pakadi ha amo nga oras buwas.
Try to get here on time tomorrow.	Pruybahi pagkanhi hin isakto nga oras buwas.
What's it we're waiting for here?	Áno iton áton guinhuhulat dínhi?
Who was this machine invented by?	Hin-o an nag-imbento hini nga makina?
You can't hide the fact from her.	Diri nim matatagu it kamatuoran ha iya.
You didn't need to buy this book.	Diri mo kinahanglanun palitun iton nga libro.
You'll be hearing from my lawyer.	Magmamaáram ka agi hit akun abogado.
Any chance of us getting approved?	¿May tsansya kitá ma-aprobar?
Can you guys meet me in the lobby?	¿Puydi akó niyo igkita ha may lobby?
Do you know where the bathroom is?	Maaram ka kun hain iton banyo?
Do you like to travel by yourself?	Karuyag mo magbyahe nga ikaw la?
Doing that is your responsibility.	Responsibilidad mo iton himuon.
Even if it rains, he'll play golf.	Bísan pa umuran, magmulay la gihapon hiyá hin golf.
He will go to New York next month.	Makadto hiyá ha New York sunod nga bulan.
He will go to New York next month.	Makadto hiyá ha Nueva York sunod nga bulan.
How much did the tickets cost you?	Pinira mo iton nga mga tickets?
I didn't go to Hong Kong by plane.	Waray ako kadtu ha Hong Kong nga nakairuplanu.
I didn't go to Hong Kong by plane.	Waray ako magiruplanu pakadto Hong Kong.
I don't deserve to be on the team.	Diri ako naangay mapabulig han grupo.
I remember the night Tom met Mary.	Nahinumdom akó han gab-i nga nakilala ni Tom hi Mary.
I think I know why Tom isn't here.	Baga'n maaram ako kay-ano waray ngahi hi Tom.
I'd rather not talk about it here.	Gabay nala ako humuyo pagyakan mahitungod hiton dinhi.
If you do that, Tom will be happy.	Magigin malipayon hi Tom kun buhaton mo iton?
Is this your first visit to Japan?	¿Úna mo inin nga pagbisita ha Japan?
It couldn't just be a coincidence.	Diri gudla adto nahituman la.
It's morning here in my time zone.	Aga yana ngadi ha amon.
It's morning here in my time zone.	Aga yana ngadi ha amon time zone.
My son is ashamed of his behavior.	It ak' anák naawod hiton íya batásan.
The same thing happened in Boston.	Parehas hiton an nahitabo ha Boston.
There's definitely something else.	May áda gud iba pa.
They haven't told me anything yet.	Waray pa ako nira sumati hin bisan ano.
Tom acted like he owned the place.	Gumios hi Tom nga baga hin hiyá it tag-iya hit' lugár.
Tom doesn't know what to do first.	Dírì maaram hi Tom kun áno iton una nga bubuháton.
Tom found the exercise exhausting.	Makapuy ni Tom an pag-ehersisyo.
Tom is complaining to the manager.	Nareklamo hi Tom ha íya mayor.
Tom says he can't believe anybody.	Yakan ni Tom diri hiya matuod ha bisan hin-o.
We have nothing to complain about.	Waráy namon sadang reklamohan.
We need to put a stop to this now.	Kinahanglan naton paundangon na ini yna.
We need to put a stop to this now.	Kinahanglan huyoan ta na ini.
We're going to have fun with this.	Marisyu ini.
What time is it now by your watch?	Ano iton oras yana ha imo relo?
Who'll take care of your cat then?	¿Hin-o man ngay-an it mag-aataman hit imo misay?
Who'll take care of your cat then?	¿Hin-o man ngay-an it mag-aataman hit imo uding?
You don't know what it is, do you?	¿Dírì ka maaram kun áno iton, anó?
You want to leave here, don't you?	Karúyag mo umiwas dinhi, ¿di' bà?
Are you going to the class reunion?	¿Makadto ka hiton reyunyon hit' kláse?
Don't worry. I'll take care of you.	Ayáw kabaraka. Babantayan ko ikaw.
Don't worry. I'll take care of you.	Ayáw kabaraka. Atamanon ko ikáw.
First we'll eat, and then we'll go.	Una pangaun anay kita, tapos lakát na kita.
First we'll eat, and then we'll go.	Pangaun anay kita, tapos larga na kita.
First we'll eat, and then we'll go.	Mangaun anay kita,.tapos kaná na.
He admitted that he stole the gold.	Gin-amin niya nga ginkáwat niya an bulawan.
He handed the salesclerk the money.	Ginhatag niya an kwarta ha klerk.
He is not interested in art at all.	Waray gud niya hílig hin arte.
He lacks the talent to be an actor.	Kulang hiya han talento para maging artista.
I am tired and I want to go to bed.	Guol hi akó ngan karúyag ko nga kumatúrog.
I can't do this without Tom's help.	Diri ko ini mahihimo kun diri ako buligan ni Tom.
I had to wait until Tom was asleep.	Kinahanglan ko maghulat ngada hiton mahingaturog hi Tom.
I recognized your voice right away.	Nakilal'an ko dayón an imo tíngog.
I thought you'd be glad to see Tom.	Kasiring ko magmamalipayon ka nga makit'an hi Tom.
I wanted to help Tom pay his bills.	Karuyag ko buligan hi Tom hit' íya mga baraydan.
I'd have to be an idiot to do that.	Agô daw ak' kun himuon ko ádto.
I'm going to lie down for a minute.	Mahigda ako mausá la kaminuto.
I've never actually been to Boston.	Waray pa ak makakada ha Boston.
Put the chair in front of the desk.	Iton lingkuran ig-printe ha lamesa.
She was similar to me in many ways.	Paropariho hiyá ha ákòn ha dámo nga paági.
The situation worries me very much.	Duro it pagkulbaha ha akun hiton sitwasyun.
They will find out sooner or later.	Masasabtan nira sunod o, niruniyan.
This is the more useful of the two.	Amo ini iton may-garugamit ha duha.
This is the more useful of the two.	Amo ini iton mas may-gamit ha duha.
Tom isn't the only one not sitting.	Diri la hi Tom an diri nalingkod.
Tom said that he'd make it on time.	Siríng ni Tom nga makakaabót hiyá hit' isakto nga oras.
Tom says he'll never do that again.	Yakan ni Tom diri na hiya mautro.
Tom says he'll never do that again.	Yakan ni Tom diri na hiya magbúhat hiton utro.
Tom says he'll never do that again.	Siríng ni Tom diri na niya adto bubuhaton utro.
What do you think they're planning?	¿Áno it' imo pag-huna iton íra pinaplano?
What do you think will happen next?	¿Ano iton imu pag-abat nga matatabo sunod?
When did you translate this letter?	¿Kakan-o nimo ginhubad iní nga surat?
When did you translate this letter?	¿Kakan-o niyo ginhubad iní nga surat?
Who painted this beautiful picture?	¿Hin-o an nagpíntar hiní nga mahúsay nga ritrato?
Do you really believe in that stuff?	¿Natuod ka gud hit' nga butáng?
Do you want to hear something funny?	Karuyag nimo makabati hin pataraw-an?
Have you finished your homework yet?	¿Nahuman mo na an' im' homework?
He comes to see me nearly every day.	Harus kada adlaw napakanhi hiya para makitaan ako.
He is not the shy boy he used to be.	Dírì na hiyá awdunon nga batà sugad han una.
I just wanted to keep things simple.	Karuyag ko la pasimplehon it' mga butáng.
I told you that I wasn't interested.	Ginsidngan ko ikáw nga dírì ak' interesado.
I was your mother's first boyfriend.	Ako an siyahan nga uyab han imo nanay.
I wonder why Tom told me to do that.	Nausa ako kay-ano daw la ginsidngan ako ni Tom nga himuon iton.
I'd die if anything happened to you.	Mapatày ak' kun may-ada mahitabo ha imo.
I'm going to stay here and watch TV.	Anhi la ako ngan magkikita hiton TV.
If the alarm rings, walk, don't run.	Kun an alarma tumunog, paglakat ayaw pagdalagan.
If you want to be alone, I'll leave.	Kun karúyag mo mag-usáhan, malakat ako.
Is he satisfied with his daily life?	Kontento na iton hiya hiton iya kinabuhi kinada adlaw?
Let's keep it secret that he is ill.	Igsekreto naton la nga masakit hiya.
There's nothing we can do about Tom.	Waráy ta na mahihimo kan Tom.
Tom and I are married to each other.	Mag-asawa kami ni Tom.
Tom and I are married to each other.	Igin-kasal kami ni Tom.
Tom asked me what I was going to do.	Pinakianhan ak ni Tom ano tak binubuhat.
Tom could see that Mary was texting.	Nakikit-an ni Tom nga hi Mary sige it' teks.
Tom didn't have much water to drink.	Gutiay nala an irinumon nga tubig ni Tom.
Tom knows nothing about this matter.	Waray maaram hi Tom hin nga butang.
Tom put his lunch tray on the table.	Ginbutang ni Tom an tre han iya paningudtuhon ha la mesa.
Tom saw Mary hiding behind the door.	Nakit-an ni Tom hi Mary nga natago ha luyo hiton sada.
Tom seems to be eating all the time.	Baga'n hi Tom nagkikinaon la permanente.
Tom was fingerprinted by the police.	Ginkuhaan hin fingerprint han mga pulis hi Tom.
We need to know what's causing this.	Kinahánglan naton maádman kay-ano ini nasúgad.
We never lock our doors around here.	Diri kami nagtratrangka hiton mga purtahán dínhi.
We've done it twice in three months.	Nakaduha namon iton himua sakob hin tulo ka-bulan.
What products are currently on sale?	¿Áno it' mga iginbabaligya na produkto yana?
What products are currently on sale?	¿Áno it' mga napapalit yanâ?
What's the sense of working so hard?	Ano iton pulos hiton pagtrinabaho hin duro?
When did you have your wall painted?	¿Kakan-o ka nagpapíntar han imo bungbung?
Would you mind if I open the window?	¿Ayos la ha imo abrehan ko iton bintana?
Would you mind if I open the window?	¿Puydi ko abrehan iton bintana?
You don't know me very well, do you?	Diri mo gud ako kilala, ano?
He must be crazy to say such a thing.	Loróng gad adâ hiyá pagyakán hin sugad nga butáng.
I didn't know what I should be doing.	Diri ako maaram hiton akon angay buhaton.
I think you might be able to help us.	Pag-ábat ko mabubulîgan mo kmi.
I think you might be able to help us.	Pag-ábat ko bangin mabulígan mo kami.
I want to see who's in the classroom.	Karuyag ko makit-an hin-o it aada sakob hit klasrum.
Is there a law here about jaywalking?	May-ada nganhi balaud kanan-jaywalking?
Is this a good place to plant a tree?	¿Maupay ini nga lugar para magtanum hin kahuy?
Is this a good place to plant a tree?	Maupay ba ini nga lugar para magtanum hin kahuy?
Is this a good place to plant a tree?	¿Maupay ini nga lugar pagtamnan hin kahuy?
Is this a good place to plant a tree?	Maupay ba ini nga lugar pagtamnan hin kahuy?
It's rare to find big yards in Japan.	Diri kadamuan it dagku na mga libong ha nasud Hapon.
Not knowing what to do, I called her.	Dírì man akó maaram hit' ákòn buháton, gintawagan ko hiyá.
She was close to breaking into tears.	Nahikaturuok na hiya.
The bank was run by private citizens.	Ginpapadalagan an banko hin mga pribado nga pagkatawo.
The house had a stone wall around it.	An baláy napapalibutan hin pader nga bato.
The people knew he did not like them.	Mag-aram iton mga tawo nga nadiri hiya ha ira.
The room was empty for quite a while.	Madugayay na nga bakante an kwárto.
The room was empty for quite a while.	Bagá karokanina pa bakante an kwárto.
There are many possible explanations.	May ada damu nga posible na eksplinasyon.
Tom doesn't listen to what Mary says.	Dírì namamati hi Tom hiton ginsisiring ni Mary.
Tom is always complaining about Mary.	Hi Tom permi nareklamo mahitungod kan Mary.
Tom is usually the first to get here.	Kasagaran hi Tom iton nauuna nganhi.
Tom stepped back from the blackboard.	Napaatras hi Tom tikang ha blakbord.
Tom wanted to know what had happened.	Karuyag ni Tom mahibaro kun ano an nahitabo.
Tom was there, but he didn't help us.	Nakadto hi Tom, pero waráy niya kami buligi.
We suffered a loss of 10,000 dollars.	Diyes mil dolyares an nawará haam.
What did you say your name was again?	¿Áno ádto an imo ngáran nga ginsiring nim'?
He remained silent during the meeting.	Mamingaw la hiya dida han miting.
How did people know I wasn't Canadian?	Kay-ano hira maaram nga diri ako taga-Canada?
How did people know I wasn't Canadian?	Panan-o nira nasabutan nga diri ako Taga-Canada?
How did you know Tom was good at golf?	Panan-o ka maaram nga makarit hi Tom ha golf?
I hope to build a new house next year.	Híngyap ko makagpatíndug hin bag-o nga balay sunod nga túig.
I need to get there soon by any means.	Kinahánglan ko mahingadto dayon ha bísan áno nga pamaagi.
I want to stay home and sleep all day.	Karuyag ko mag-inukoy ha balay ngan magkinaturog bug-os nga adlaw.
I'd speak to you in French if I could.	Kun kaya dawla makig-estorya ako ha imo ha Pranses nga kayakan.
I've been here almost three years now.	Nakanhi na ak magtútúlô na katúig.
I've discovered something interesting.	May nadiskubre ako nga baga interesante.
It is doubtful whether this will work.	Diri matapud-tapud kun maganar ini.
It's important to read a lot of books.	Importante magbasa hin dámo nga líbro.
My father doesn't drink too much sake.	Iton ákòn tatay dírì nainum hin duro hin sake.
Please come to meet me at the station.	Pakitapua daw ak ha istasyun.
Please tell them what they need to do.	Alayon igsiring ha ira iton ira kinahanglan buhaton.
The police are not here to arrest you.	It' mga pulis waray nganhi pára arestuhon ka.
There is an urgent need for donations.	May-ada hataas nga panginginahanglan hin donasyun.
They threw their hats up into the air.	Gin-itsa nira an íra mga kalo.
This happens every time Tom goes away.	Nahihitabo ini basta nalakat hi Tom.
Tom didn't know why his wife left him.	Hi Tom dírì maaram kay-ano ginbayaan hiyá han íya bána.
Tom knows he shouldn't have said that.	Maaram hi Tom nga waray niya unta igsiring iton.
Tom seems to be in a really good mood.	Baga'n maupay gud iton pamurut-buot ni Tom.
Tom thinks he's going to win the race.	It' paghuna ni Tom hiyá iton magdaog hit' ruromba.
Tom told Mary he had to go home early.	Ginsidngan ni Tom hi Mary nga kinahanglan niya umuli hin aga.
Tom was the one who planned the party.	Hi Tom an nagplano han party.
Tomorrow, I have plans to go to Tokyo.	Buwas, may mga plano akó pagkadto Tokyo.
Trying to fix this is a waste of time.	Karag-oras la iton pag-inayad hiton.
Why didn't you write to me right away?	¿Waray ka man magsurat diretso ha akun?
You might want to ask Tom to help you.	Bangin karuyag mo magpabulig kan Tom.
You might want to ask Tom to help you.	Bangin karuyagon mo magpa-alayon kan Tom.
Could you knock a little off the price?	¿Puydi mo paharuhabuon it' presyo?
He can see nothing without his glasses.	Waray niya nakikit-an kun waray an iya antiyuhos.
He climbed the tree without difficulty.	Waray kuri niya nga nasaklang an kahoy.
I assume Tom and Mary will get married.	Igkakasal gud ini hi Tom ngan Mary.
I'm trying to find out why it happened.	Ginkikita ko kun kay ano adto natabu.
Is Tom's condition really that serious?	Sugad gud kaseryoso iton kabutangan ni Tom?
It's not good to stay up late at night.	Dírì maupay magpiniraw.
Mt. Fuji is not as tall as Mt. Everest.	Diri magkahitaas iton Mt. Fuji ngan Mt. Everest.
My mother prepared me for the bad news.	Ginpag-andam ako ni nanay para hiton maraot na súmat.
She didn't buy anything from the store.	Waray niya ginpalit tindahan.
Stop complaining and do as you're told.	Huyo pagreniklamo ngan buháta an siríng ha im'.
The earth is much larger than the moon.	Darudaku gud it kalibutan ha bulan.
The exercises are simple and effective.	An mga ehersisyo simple ngan epektibo.
The office is full of competent people.	It opisina puno hin magkarit nga mga tawo.
Tom is supposed to be in Boston by now.	Ada ha Boston unta na yanâ hi Tom.
We definitely need to hire more people.	Kinahánglan ta na gud mag-arkila hin mga tawo pa.
We ordered some new books from England.	Nag-order kami hin mga bag-o nga libro tikang Inglatera.
Astronomy is one of the oldest sciences.	Iton astronomiya usa ha pinaka-daan nga siyensya.
Do you know where Tom keeps the aspirin?	¿Maaram ka kun diin gintagu ni Tom an aspirin?
He seems not to be cut out for teaching.	Baga hin diri hiya naangay pagtutdo.
He was sentenced to three years in jail.	Nasintinsiyahan hiya hin tuló katuig ha prisohan.
How long do you think you can stay here?	Iton imo pag-abat ano ka kadugay dinhi?
I don't know how much longer it'll take.	Diri ako maaram ano pa kadugay iton.
I liked climbing trees when I was a kid.	Mahilig ko magpinannaka hin kahuy han bata ako.
I liked climbing trees when I was a kid.	Naruruyag ako magpinansaka hin kakahuyan han bata pa ako.
I want things to be different this time.	Karuyag ko it mga butang iba liwat yna.
I'm sorry I have a previous appointment.	Pasensya, may-ada ako anay iba nga tuyo.
If you speak French, I won't understand.	Kun mag-Frinanses hi ikaw, dírì hi akó makakasabot.
If you speak French, I won't understand.	Kun mag-Frinanses hi ikaw, dírì hi akó makaka-intindi.
Plant these seeds before summer sets in.	Igtanum ini nga mga liso san-o't katsirak.
She went to Paris in order to study art.	Napakadto hiya ha Pransya para mag-eskuyla bahin hiton sining.
