Hi.	สวัสดี
This book is small.	หนังสือเล่มนี้มีขนาดเล็ก
Tom almost laughed.	ทอมเกือบหัวเราะ
Tom cooks with gas.	ทอมทำอาหารด้วยแก๊ส
Tom has three cars.	ทอมมีรถสามคัน
Tom is Mary's boss.	ทอมเป็นหัวหน้าของแมรี่
Tom is Mary's boss.	ทอมเป็นบอสของแมรี่
Tom is a celebrity.	ทอมเป็นคนดัง
Tom likes it there.	ทอมชอบมันที่นั่น
Tom looks like you.	ทอมดูเหมือนคุณ
Tom started crying.	ทอมเริ่มร้องไห้
Tom teaches French.	ทอมสอนภาษาฝรั่งเศส
Tom will need help.	ทอมจะต้องการความช่วยเหลือ
Tom's disappointed.	ทอมผิดหวัง
Tom, where are you?	ทอม คุณอยู่ไหน?
We adopted a child.	เรารับลูกบุญธรรม
We know everything.	พวกเรารู้ทุกอย่าง
We ran out of food.	เราหมดอาหาร
We were very tired.	พวกเราเหนื่อยมาก
Were you born here?	คุณเกิดที่นี่ไหม?
What a small world!	โลกใบนี้ช่างเล็กเหลือเกิน!
What did you drink?	คุณดื่มอะไร?
What does she have?	เธอมีอะไร?
What're you saying?	คุณพูดว่าอะไร?
When does it begin?	มันเริ่มเมื่อไหร่?
Where are my shoes?	รองเท้าฉันอยู่ไหน?
Where are you from?	คุณมาจากไหน?
Where did you work?	คุณทำงานที่ไหน?
Where does it hurt?	มันเจ็บที่ไหน?
Where is it hidden?	มันซ่อนอยู่ที่ไหน?
Where's the butter?	เนยอยู่ที่ไหน?
Who are those guys?	คนพวกนั้นคือใคร?
Who made this cake?	ใครทำเค้กนี้?
Whose beer is this?	เบียร์นี้ของใคร?
Whose book is this?	หนังสือนี่ของใคร?
Why are you crying?	คุณร้องไห้ทำไม?
Why can't you come?	ทำไมคุณมาไม่ได้?
Why were you there?	ทำไมคุณถึงอยู่ที่นั่น?
Will it hurt a lot?	มันจะเจ็บมากไหม?
You are very brave.	คุณกล้าหาญมาก
You got very drunk.	คุณเมามาก
You have cute eyes.	คุณมีดวงตาที่น่ารัก
You know it's true.	คุณรู้ว่ามันเป็นเรื่องจริง
You look very pale.	คุณดูซีดมาก
You may use my car.	คุณอาจใช้รถของฉันได้
You may use my car.	คุณใช้รถของฉันได้
You might meet him.	คุณอาจพบเขา
You must be joking!	คุณต้องล้อเล่นแน่ๆเลย
You're still young.	คุณยังเด็กอยู่
A truck hit the dog.	รถบรรทุกชนสุนัข
Answer the question.	ตอบคำถาม
Are you on Facebook?	คุณใช้ Facebook หรือเปล่า
Bring me my glasses.	เอาแว่นฉันมาให้ฉัน
But I don't want to.	แต่ฉันไม่อยาก
Can he speak French?	เขาพูดภาษาฝรั่งเศสได้ไหม?
Could it be a virus?	มันอาจเป็นไวรัสไหม?
Do you go to school?	คุณไปโรงเรียนไหม?
Do you keep a diary?	คุณเขียนไดอารี่ตลอดไหม?
Do you like dancing?	คุณชอบเต้นไหม?
Do you like singing?	คุณชอบร้องเพลงไหม?
Does your head hurt?	หัวของคุณเจ็บไหม?
Don't go in my room.	อย่าเข้าไปในห้องของฉัน
Don't lose patience.	อย่าหมดความอดทน
Don't you miss that?	คุณพลาดนั่นไม่ใช่หรือ?
Elephants eat grass.	ช้างกินหญ้า
Enjoy your holidays.	สนุกกับวันหยุดของคุณ
Everything is cheap.	ทุกอย่างราคาถูก
Everything is ready.	ทุกอย่างพร้อมแล้ว
Go jump in the lake.	ไปกระโดดในทะเลสาบ
Has he returned yet?	เขากลับมาแล้วหรือยัง?
He accepted my idea.	เขายอมรับความคิดของฉัน
He is a rude person.	เขาเป็นคนที่หยาบคาย
He is overconfident.	เขามีความมั่นใจมากเกินไป
He is very busy now.	ตอนนี้เขายุ่งมาก
He wrote the report.	เขาเขียนรายงาน
How are you feeling?	คุณรู้สึกอย่างไร?
How did you find us?	คุณเจอพวกเราได้อย่างไร
How did you find us?	คุณพบพวกเราได้อย่างไร
How old is your son?	ลูกคุณอายุเท่าไหร่?
I admire his talent.	ฉันชื่นชมความสามารถของเขา
I already bought it.	ฉันซื้อมันไปแล้ว
I arrived yesterday.	ฉันมาถึงเมื่อวานนี้
I can't believe you.	ฉันเชื่อคุณไม่ได้
I can't draw a bird.	ฉันวาดนกไม่ได้
I disagree with you.	ฉันไม่เห็นด้วยกับคุณ
I don't believe you.	ฉันไม่เชื่อคุณ
I don't like school.	ฉันไม่ชอบโรงเรียน
I don't want to eat.	ฉันไม่อยากกิน
I finally got a job.	ในที่สุดฉันก็มีงานทำ
I grew up in Boston.	ฉันเติบโตขึ้นมาในบอสตัน
I have a high fever.	ฉันมีไข้สูง
I have to go to bed.	ฉันต้องไปนอนแล้ว
I hear with my ears.	ฉันได้ยินด้วยหูของฉัน
I hope Tom is right.	ฉันหวังว่าทอมถูกต้อง
I just want to know.	ฉันแค่อยากรู้
I know this is hard.	ฉันรู้ว่านี่เป็นเรื่องยาก
I know where she is.	ฉันรู้ว่าเธออยู่ที่ไหน
I like Boston a lot.	ฉันชอบบอสตันมาก
I like your article.	ฉันชอบบทความของคุณ
I love this company.	ฉันรักบริษัทนี้
I make €100 a day.	ฉันได้เงินวันละ 100 ยูโร
I saw you yesterday.	ฉันเห็นคุณเมื่อวานนี้
I talked to friends.	ฉันคุยกับเพื่อน
I want a cup of tea.	ฉันต้องการชาถ้วยนึง
I will be back soon.	ฉันจะกลับมาเร็วๆ นี้
I will be back soon.	เดี๋ยวฉันจะกลับมาเร็วๆนี้
I will try it again.	ฉันจะลองมันอีกครั้ง
I work in a factory.	ฉันทำงานในโรงงาน
I'm a tennis player.	ฉันเป็นนักเทนนิส
I'm not a celebrity.	ฉันไม่ใช่คนดัง
I'm not busy either.	ฉันก็ไม่ยุ่งเหมือนกัน
I'm not complaining.	ฉันไม่ได้บ่น
I'm not in the mood.	ฉันไม่มีอารมณ์
I'm very hungry now.	ฉันหิวมากตอนนี้
I've got a headache.	หัวฉันปวด
I've got a headache.	ฉันปวดหัว
I've lost my wallet.	ฉันทำกระเป๋าเงินของฉันหาย
Is it far from here?	มันไกลจากที่นี่ไหม?
It isn't about that.	มันไม่ใช่อย่างนั้น
It's time to get up.	ได้เวลาตื่นนอนแล้ว
Let's try something.	ลองทำดู!
Let's try something.	มาลองบางอย่างกันเถอะ
Let's try something.	ลองทำอะไรสักอย่างกัน
Look at the picture.	ดูที่รูปภาพ
More coffee, please.	ขอกาแฟเพิ่มได้ไหม
My hair is too long.	ผมของฉันยาวเกินไป
See you in two days.	เจอกันใหม่อีกสองวัน
She gave up smoking.	เธอเลิกสูบบุหรี่
She stopped talking.	เธอหยุดพูด
Take off your shoes.	ถอดรองเท้าของคุณ
Thailand is in Asia.	ประเทศไทยอยู่ในทวีปเอเชีย
That boy is running.	เด็กชายคนนั้นกำลังวิ่ง
That was my mistake.	นั่นคือความผิดพลาดของฉัน
That's not my fault.	นั่นไม่ใช่ความผิดของฉัน
That's why I'm here.	นั่นเป็นเหตุผลที่ฉันมาที่นี่
The apples are ripe.	แอปเปิ้ลสุก
The boy got scolded.	เด็กชายโดนดุ
The law was changed.	กฎมีการเปลี่ยนแปลง
The server was down.	เซิร์ฟเวอร์หยุดทำงาน
They ruined my life.	พวกเขาทำลายชีวิตของฉัน
They're like family.	พวกเขาเหมือนครอบครัว
They're still alive.	พวกเขายังมีชีวิตอยู่
This beef is tender.	เนื้อนี่ละมุน
This desk is broken.	โต๊ะนี้พัง
This desk is broken.	โต๊ะนี้หัก
This is an old book.	นี่เป็นหนังสือเก่า
This is their house.	นี่คือบ้านของพวกเขา
This paper is rough.	กระดาษนี้หยาบ
Those are my things.	พวกนั้นคือของของฉัน
Three weeks went by.	สามสัปดาห์ผ่านไป
Time is running out.	เวลากำลังจะหมด
Tom bites his nails.	ทอมกัดเล็บของเขา
Tom brought flowers.	ทอมนำดอกไม้มา
Tom cried all night.	ทอมร้องไห้ทั้งคืน
Tom cut Mary's hair.	ทอมตัดผมของแมรี่
Tom didn't say that.	ทอมไม่ได้พูดอย่างนั้น
Tom has a black eye.	ทอมมีตาสีดำ
Tom helped a little.	ทอมช่วยเล็กน้อย
Tom is a vegetarian.	ทอมเป็นมังสวิรัติ
Tom is always happy.	ทอมมีความสุขเสมอ
Tom is going to win.	ทอมกำลังจะชนะ
Tom isn't ready yet.	ทอมยังไม่พร้อม
Tom left in a hurry.	ทอมไปอย่างเร่งรีบ
Tom might know Mary.	ทอมอาจจะรู้จักแมรี่
Tom never wears red.	ทอมไม่เคยใส่สีแดง
Tom opened a window.	ทอมเปิดหน้าต่าง
Tom questioned Mary.	ทอมถามแมรี่
Tom refuses to talk.	ทอมปฏิเสธที่จะพูด
Tom shouted at Mary.	ทอมตะโกนใส่แมรี่
Tom started dancing.	ทอมเริ่มเต้น
We are good friends.	พวกเราเป็นเพื่อนที่ดี
We dislike violence.	เราไม่ชอบความรุนแรง
We need to help Tom.	เราต้องช่วยทอม
We should celebrate.	พวกเราควรฉลองกัน
We traveled on foot.	เราเดินทางด้วยการเดินเท้า
We're eating apples.	เรากำลังกินแอปเปิ้ล
We're not in danger.	เราไม่ตกอยู่ในอันตราย
What does that mean?	หมายความว่าอะไร
What's it made from?	มันทำมาจากอะไร?
What's this key for?	กุญแจนี้มีไว้ทำอะไร?
When did you get up?	คุณตื่นนอนเมื่อไหร่?
When will you leave?	คุณจะไปเมื่อไหร่?
Where are you going?	คุณกำลังจะไปไหน?
Where is the toilet?	ห้องน้ำอยู่ที่ไหน?
Where were you born?	คุณเกิดที่ไหน?
Where's Tom's watch?	นาฬิกาของทอมอยู่ที่ไหน?
Which book is yours?	หนังสือเล่มไหนของคุณ?
Who do you work for?	คุณทำงานให้กับใคร?
Who is your teacher?	ครูของคุณคือใคร?
Who stole the apple?	ใครขโมยแอปเปิ้ล?
Why am I doing this?	ทำไมฉันถึงทำอย่างนี้ ?
Why are you running?	ทำไมคุณวิ่ง?
Why can't I do that?	ทําไมฉันถึงทําอย่างนั้นไม่ได้
Why didn't you come?	ทำไมคุณถถึงไม่มา?
Will you go with us?	คุณจะไปกับเราไหม?
Would Tom like that?	ทอมจะชอบสิ่งนั้นไหม?
You can rely on him.	คุณสามารถพึ่งพาเขาได้
You look like a cop.	คุณดูเหมือนตำรวจ
You look very tired.	คุณดูเหนื่อยมาก
You speak very fast.	คุณพูดเร็วมาก
You're way too late.	คุณสายเกินไป
Your father is tall.	พ่อของคุณสูง
America is beautiful.	อเมริกานั้นสวยงาม
Apples grow on trees.	แอปเปิ้ลเติบโตบนต้นไม้
Are these yours, Tom?	พวกนี้เป็นของคุณไหมทอม?
Are you Tom's mother?	คุณเป็นแม่ของทอมหรือเปล่า?
Are your hands clean?	มือของคุณสะอาดหรือยัง?
Can Tom speak French?	ทอมพูดภาษาฝรั่งเศสได้ไหม?
Can you speak French?	คุณพูดภาษาฝรั่งเศสได้ไหม?
Could we have a fork?	เราขอส้อมได้ไหม?
Did I miss something?	ฉันพลาดอะไรไปรึเปล่า?
Do whatever you like.	ทำในสิ่งใดก็ได้ที่คุณชอบ
Do you get up at six?	คุณตื่นหกโมงไหม?
Do you have a pencil?	คุณมีดินสอไหม?
Do you have any cash?	คุณมีเงินสดไหม?
Do you have any pets?	คุณมีสัตว์เลี้ยงไหม?
Do you understand me?	คุณเข้าใจฉันไหม?
Do you want to dance?	คุณอยากเต้นไหม?
Does Tom like Boston?	ทอมชอบบอสตันไหม?
Don't open your book.	อย่าเปิดหนังสือของคุณ
Don't worry about it!	อย่ากังวลกับมันเลย!
Fish live in the sea.	ปลาอาศัยอยู่ในทะเล
Flowers attract bees.	ดอกไม้ดึงดูดผึ้ง
Give me a day or two.	ให้เวลาฉันสักวันสองวัน
Give me three months.	ให้เวลาฉันสามเดือน
Go back to your seat.	กลับไปที่นั่งของคุณ
He arrived too early.	เขามาถึงเร็วเกินไป
He built a new house.	เขาสร้างบ้านใหม่
He crossed the river.	เขาข้ามแม่น้ำ
He is afraid to swim.	เขากลัวที่จะว่ายน้ำ
He is reading a book.	เขากำลังอ่านหนังสือ
He lent me two books.	เขาให้ฉันยืมหนังสือสองเล่ม
He likes watching TV.	เขาชอบดูทีวี
He lost his eyesight.	เขาสูญเสียการมองเห็น
How big is this park?	สวนสาธารณะนี้ใหญ่ขนาดไหน?
How deep is the lake?	ทะเลสาบมีความลึกแค่ไหน?
I always feel hungry.	ฉันรู้สึกหิวเสมอ
I am eating an apple.	ฉันกินแอปเปิ้ล
I am terribly hungry.	ฉันหิวมาก
I bought her a clock.	ฉันซื้อนาฬิกาให้เธอ
I can hear something.	ฉันได้ยินอะไรบางอย่าง
I can see the target.	ฉันเห็นเป้าหมายแล้ว
I don't go to school.	ฉันไม่ไปโรงเรียน
I forgot his address.	ฉันลืมที่อยู่ของเขา
I have a few friends.	ฉันมีเพื่อนไม่กี่คน
I have a stomachache.	ฉันปวดท้อง
I have gained weight.	ฉันน้ำหนักขึ้น
I have three cameras.	ฉันมีกล้องสามตัว
I know her very well.	ฉันรู้จักเธอเป็นอย่างดี
I know her very well.	ฉันรู้จักเธอดี
I know it's not easy.	ฉันรู้ว่ามันไม่ง่าย
I live a simple life.	ฉันใช้ชีวิตเรียบง่าย
I love French movies.	ฉันรักภาพยนตร์ฝรั่งเศส
I met Tom on the way.	ฉันพบทอมระหว่างทาง
I need to study math.	ฉันต้องเรียนคณิตศาสตร์
I paid $200 in taxes.	ฉันจ่ายภาษีไป 200 ดอล
I think I understand.	ฉันคิดว่าฉันเข้าใจ
I think you're right.	ฉันคิดว่าคุณพูดถูก
I'm depending on you.	ฉันขึ้นอยู่กับคุณ
I'm going to be fine.	ฉันจะสบายดี
I'm in love with you.	ฉันตกหลุมรักคุณแล้ว
I'm looking for work.	ฉันกำลังมองหางาน
I'm not at all tired.	ฉันไม่เหนื่อยทั้งหมดเลย
I'm sorry I can't go.	ฉันขอโทษ ฉันไม่สามารถไปได้
I'm thirty years old.	ฉันมีอายุสามสิบปี
I'm writing a letter.	ฉันกำลังเขียนจดหมาย
I'm your best friend.	ฉันเป็นเพื่อนสนิทของคุณ
I've lost my glasses.	ฉันทำแว่นตาฉันหาย
Is it open on Sunday?	มันเปิดวันอาทิตย์ไหม
Is this pencil yours?	ดินสอนี้เป็นของคุณหรือ?
Is this pencil yours?	ดินสอนี้เป็นของคุณใช่ไหม?
Is this pencil yours?	ดินสอนี้ใช่ของคุณมั๊ย?
It is in the kitchen.	มันอยู่ในห้องครัว
It may rain tomorrow.	พรุ่งนี้อาจจะมีฝน
It may rain tomorrow.	ฝนอาจจะตกพรุ่งนี้
It was hot yesterday.	เมื่อวานอากาศโคตรร้อนเลย
It'll cost me my job.	มันจะทำให้ฉันเสียงาน
It's not a classroom.	มันไม่ใช่ห้องเรียน
It's not raining yet.	ฝนยังไม่ตก
Just close your eyes.	แค่หลับตาของคุณ
Keep the door locked.	ล็อคประตูไว้
Let me say one thing.	ให้ฉันพูดสิ่งนึง
Let's sing and dance.	ร้องเพลงและเต้นรำกันเถอะ
Lincoln died in 1865.	ลินคอล์นเสียชีวิตในปี 1865
Many trees fell down.	ต้นไม้จำนวนมากล้มลง
May I have a receipt?	ฉันขอใบเสร็จได้ไหม?
Nobody spoke with me.	ไม่มีใครพูดกับฉัน
Our fridge is broken.	ตู้เย็นของเราเสีย
Rabbits love carrots.	กระต่ายรักแคร์รอต
Shall we take a taxi?	เราจะนั่งแท็กซี่กันไหม?
She can speak French.	เธอสามารถพูดภาษาฝรั่งเศสได้
She sang pretty well.	เธอร้องเพลงได้ดี
She's as busy as Tom.	เธอยุ่งเหมือนทอม
Sorry for being late.	ขอโทษที่มาสาย
Sumatra is an island.	สุมาตราเป็นเกาะ
That bicycle is mine.	จักรยานนั่นเป็นของฉัน
That's disappointing.	นั่นน่าผิดหวัง
That's what Tom said.	นั่นคือสิ่งที่ทอมพูด
The beer's very cold.	เบียร์เย็นมาก
The fan doesn't work.	พัดลมไม่ทำงาน
The house is haunted.	บ้านถูกผีสิง
The wind calmed down.	ลมสงบลง
There is a gold coin.	มีเหรียญทอง
There's no food left.	ไม่มีอาหารเหลือ
They deserve respect.	พวกเขาสมควรได้รับความเคารพ
They don't like cats.	พวกเขาไม่ชอบแมว
They're not soldiers.	พวกเขาไม่ใช่ทหาร
This bicycle is mine.	จักรยานนี้เป็นของฉัน
This car is like new.	รถคันนี้เหมือนใหม่
This is Tom's school.	นี่คือโรงเรียนของทอม
This is for you, Tom.	นี่เพื่อคุณ, ทอม
This is really weird.	นี่มันแปลกจริง ๆ
This tea smells good.	ชานี้มีกลิ่นดี
This will cost €30.	ราคา 30 ยูโรค่ะ/ครับ
Those apples are big.	แอปเปิ้ลเหล่านั้นมีขนาดใหญ่
Tom checked the time.	ทอมดูเวลา
Tom doesn't eat meat.	ทอมไม่กินเนื้อ
Tom had many friends.	ทอมมีเพื่อนมากมาย
Tom has a family now.	ทอมมีครอบครัวแล้ว
Tom has a silk scarf.	ทอมมีผ้าพันคอไหม
Tom hates raw onions.	ทอมเกลียดหัวหอมดิบ
Tom is a wealthy man.	ทอมเป็นคนร่ำรวย
Tom is chopping wood.	ทอมกำลังตัดไม้
Tom is now in prison.	ตอนนี้ทอมอยู่ในคุก
Tom is very handsome.	ทอมหล่อมาก
Tom likes to do that.	ทอมชอบทำอย่างนั้น
Tom should talk less.	ทอมควรพูดให้น้อยลง
Tom understands Mary.	ทอมเข้าใจแมรี่
Tom wants to do that.	ทอมต้องการทำเช่นนั้น
Tom's making his bed.	ทอมจัดเตียงของเขา
Tom's room is locked.	ห้องของทอมล็อกอยู่
Water reflects light.	น้ำสะท้อนแสง
We're ready to leave.	เราพร้อมที่จะออกแล้ว
What do you men want?	ผู้ชายคุณต้องการอะไร
What's my punishment?	อะไรคือบทลงโทษของฉัน?
Where are my glasses?	แว่นตาของฉันอยู่ที่ไหน?
Where is the library?	ห้องสมุดอยู่ที่ไหน?
Where is your father?	พ่อของคุณอยู่ที่ไหน?
Where is your school?	โรงเรียนของคุณอยู่ที่ไหน?
Why are you so happy?	ทำไมคุณมีความสุขมาก?
Why doesn't Tom talk?	ทำไมทอมไม่พูด?
Why don't you listen?	ทำไมคุณถึงไม่ฟัง?
Would you like to go?	คุณอยากจะไปไหม?
You aren't my mother.	คุณไม่ใช่แม่ของฉัน
You may use this car.	คุณอาจใช้รถคันนี้
You're a good mother.	คุณเป็นแม่ที่ดี
Your answer is wrong.	คำตอบของคุณผิด
Your parents hate me.	พ่อแม่เธอไม่ชอบฉัน
Above all, be patient.	เหนือสิ่งอื่นใด มีความอดทน
Are you afraid of Tom?	คุณกลัวทอมไหม?
Are you getting tired?	คุณเหนื่อยไหม?
Are you talking to me?	คุณกำลังพูดกับฉันหรือเปล่า?
Can I open the window?	ฉันเปิดหน้าต่างได้ไหม?
Can you keep a secret?	คุณเก็บไว้เป็นความลับได้ไหม?
Did you buy Tom a dog?	คุณซื้อสุนัขให้ทอมหรือไม่
Do you enjoy studying?	เธอสนุกกับการเรียนมั้ย?
Do you have a lighter?	คุณมีไฟแช็คไหม?
Do you know your size?	คุณรู้ขนาดของคุณไหม?
Does he speak English?	เขาพูดภาษาอังกฤษได้ไหม?
Does she like oranges?	เธอชอบส้มหรือไม่?
Everyone is different.	เราทุกคนต่างกัน
Everything is working.	ทุกอย่างทำงานได้
Have they arrived yet?	พวกเขามาถึงหรือยัง?
He broke his left arm.	เขาหักแขนซ้ายของเขา
He has a lot of money.	เขามีเงินจำนวนมาก
He hasn't arrived yet.	เขายังมาไม่ถึง
He is good at singing.	เขาร้องเพลงเก่ง
He is wearing glasses.	เขากำลังใส่แว่นตา
He sat reading a book.	เขานั่งอ่านหนังสือ
He shouted, "Get out!"	เขาตะโกน "ออกไป!"
He teaches us English.	เขาภาษาอังกฤษให้พวกเรา
He's not always happy.	เขาไม่ได้มีความสุขเสมอ
He's shorter than Tom.	เขาเตี้ยกว่าทอม
How long did you stay?	คุณอยู่นานแค่ไหน?
How long does it take?	มันจะใช้เวลานานแค่ไหน?
I am shorter than you.	ฉันเตี้ยกว่าคุณ
I bet you know French.	ฉันพนันว่าคุณรู้ภาษาฝรั่งเศส
I bought it last week.	ฉันซื้อมันเมื่อสัปดาห์ที่แล้ว
I dislike being alone.	ฉันไม่ชอบอยู่คนเดียว
I don't have time now.	ตอนนี้ฉันไม่มีเวลาแล้ว
I don't know his name.	ฉันไม่รู้ชื่อของเขา
I don't need your job.	ฉันไม่ต้องการงานของคุณ
I drank tea yesterday.	ฉันดื่มชาเมื่อวานนี้
I fear we're too late.	ฉันกลัวว่าเราจะสายเกินไป
I found out the truth.	ฉันพบความจริง
I have nothing to say.	ฉันไม่มีอะไรที่จะพูด
I have to go to sleep.	ฉันต้องไปนอนแล้ว
I hope he's all right.	ฉันหวังว่าเขาคงจะสบายดี
I like dogs very much.	ฉันชอบสุนัขมาก
I like to buy clothes.	ฉันชอบซื้อเสื้อผ้า
I never liked biology.	ฉันไม่เคยชอบชีววิทยา
I paid about 50 bucks.	ฉันจ่ายไปประมาณ 50 ดอลลาร์
I said goodbye to Tom.	ฉันบอกลากับทอม
I want to participate.	ฉันต้องการมีส่วนร่วม
I want to say goodbye.	ฉันอยากจะบอกลา
I was happy yesterday.	เมื่อวานฉันมีความสุข
I'm going to miss Tom.	ฉันจะคิดถึงทอม
I'm going to the bank.	ฉันจะไปธนาคาร
I'm leaving it to you.	ฉันจะทิ้งมันไว้กับคุณ
I'm the one they want.	ฉันเป็นคนที่พวกเขาต้องการ
Is that what Tom said?	นั่นคือสิ่งที่ทอมพูดหรือเปล่า?
Is that what you said?	นั่นคือสิ่งที่คุณพูดหรือ?
Is your watch correct?	นาฬิกาข้อมือของคุณถูกต้องหรือไม่
It's been a long week.	มันเป็นสัปดาห์ที่ยาวนาน
It's driving me crazy.	มันทำให้ฉันบ้า
It's probably a virus.	มันอาจเป็นไวรัส
It's totally my fault.	มันเป็นความผิดของฉันทั้งหมด
Keep in touch with me.	ติดต่อกับฉัน
Lay down on the couch.	นอนลงบนโซฟา
Let's play volleyball.	มาเล่นวอลเลย์บอลกัน
Like father, like son.	เหมือนพ่อ เหมือนลูกชาย
May I open the window?	ฉันขอเปิดหน้าต่างได้ไหม?
May I sit next to you?	ฉันขอนั่งข้าง ๆ คุณได้ไหม
My baggage is missing.	สัมภาระของฉันหายไป
Please close the door.	กรุณาปิดประตู
Please don't say that.	กรุณาอย่าพูดอย่างนั้น
Please don't say that.	โปรดอย่าพูดอย่างนั้น
Please don't touch me.	กรุณาอย่าแตะต้องฉัน
Please think about it.	โปรดคิดเกี่ยวกับมัน
Put it where you like.	วางไว้ในตำแหน่งที่คุณชอบ
She agreed to my idea.	เธอเห็นด้วยกับความคิดของฉัน
She refused his offer.	เธอปฏิเสธข้อเสนอของเขา
She's smaller than me.	เธอตัวเล็กกว่าฉัน
The price is going up.	ราคากำลังขึ้น
The streets are clean.	ถนนสะอาด
They made me go there.	พวกเขาทำให้ฉันไปที่นั่น
They should apologize.	พวกเขาควรขอโทษ
This is not my ticket.	นี่ไม่ใช่ตั๋วของฉัน
Tom appeared confused.	ทอมดูสับสน
Tom bought some bread.	ทอมซื้อขนมปังมาพอประมาณ
Tom has three cameras.	ทอมมีกล้องสามตัว
Tom is at the airport.	ทอมอยู่ที่สนามบิน
Tom is in a book club.	ทอมเป็นสมาชิกของชมรมหนังสือ
Tom is weak in French.	ทอมไม่เก่งภาษาฝรั่งเศส
Tom likes being alone.	ทอมชอบอยู่คนเดียว
Tom might have cancer.	ทอมอาจเป็นมะเร็ง
Tomorrow is Christmas.	พรุ่งนี้เป็นวันคริสต์มาส
Wait here for a while.	รอที่นี่สักครู่
What's wrong with you?	เกิดอะไรขึ้นกับคุณ?
Where is the bathroom?	ห้องน้ำอยู่ที่ไหน?
Where is the elevator?	ลิฟต์อยู่ที่ไหน?
Who is in charge here?	ใครเป็นผู้รับผิดชอบที่นี่?
Whose side are you on?	คุณอยู่ฝ่ายใด?
Why do you hate women?	ทำไมคุณถึงเกลียดผู้หญิง?
Will it rain tomorrow?	ฝนจะตกไหมพรุ่งนี้
You must come with me.	คุณต้องมากับฉัน
You recovered quickly.	คุณหายเร็ว
You're very beautiful.	คุณสวยมาก
2539 is a prime number.	2539 เป็นจำนวนเฉพาะ
All I have is one book.	ฉันมีแค่หนังสือเล่มเดียว
Are you Tom's daughter?	คุณใช่ลูกสาวของทอมไหม?
Better late than never.	มาสายดีกว่าไม่มา
Charity begins at home.	การกุศลเริ่มต้นที่บ้าน
Did you have breakfast?	คุณกินข้าวเช้าหรือยัง?
Did you see him go out?	คุณเห็นเขาออกไปไหม?
Do you dream in French?	คุณฝันในภาษาฝรั่งเศสไหม?
Do you know the reason?	คุณรู้เหตุผลไหม?
Do you know who she is?	คุณรู้ไหมว่าเธอเป็นใคร?
Do you see the raccoon?	คุณเห็นแรคคูนไหม
Do you speak Esperanto?	คุณพูดภาษาเอสเปรันโตไหม?
French isn't difficult.	ภาษาฝรั่งเศสไม่ยาก
He asked for my advice.	เขาขอคำแนะนำจากฉัน
He attempted to escape.	เขาพยายามหลบหนี
He did nothing but cry.	เขาไม่ทำอะไรนอกจากร้องไห้
He died of lung cancer.	เขาเสียชีวิตด้วยโรคมะเร็งปอด
He kept reading a book.	เขาอ่านหนังสือต่อไป
He still wants to come.	เขายังคงต้องการที่จะมา
He told me where to go.	เขาบอกฉันว่าไปทางไหน
He went to the dentist.	เขาไปหาหมอฟัน
How wide is this river?	แม่น้ำสายนี้กว้างเท่าไหร่?
I always keep promises.	ฉันรักษาสัญญาเสมอ
I believe Tom is right.	ฉันเชื่อว่าทอมพูดถูก
I bought her a new car.	ฉันซื้อรถใหม่ให้เธอ
I couldn't stop crying.	ฉันหยุดร้องไห้ไม่ได้
I do not have a sister.	ฉันไม่มีพี่สาวหรือน้องสาว
I don't agree with you.	ฉันไม่เห็นด้วยกับคุณ
I don't have any money.	ฉันไม่มีเงินเลย
I don't like it at all.	ฉันไม่ชอบมันเลย
I don't like that name.	ฉันไม่ชอบชื่อนั้น
I don't normally dance.	ปกติผมไม่เต้น
I don't speak Japanese.	ฉันพูดภาษาญี่ปุ่นไม่ได้
I don't understand you.	ฉันไม่เข้าใจคุณ
I just want to go home.	ฉันแค่อยากกลับบ้าน
I like speaking French.	ฉันชอบพูดภาษาฝรั่งเศส
I think you lied to me.	ฉันคิดว่าคุณโกหกฉัน
I want to do it myself.	ฉันต้องการทำมันเอง
I was in the mountains.	ตอนนั้นฉันอยู่ในเขา
I will gladly help you.	ฉันยินดีที่จะช่วยคุณ
I will stay home today.	ฉันจะอยู่บ้านวันนี้
I wonder what happened.	ฉันสงสัยว่าเกิดอะไรขึ้น
I'm not going with you.	ฉันจะไม่ไปกับคุณ
I'm worried about them.	ฉันเป็นห่วงพวกเขา
I've never been abroad.	ฉันไม่เคยไปต่างประเทศ
Is it a recent picture?	นี่เป็นภาพล่าสุดรึเปล่า?
Isn't that what I said?	นั่นคือสิ่งที่ฉันพูดไม่ได้เหรอ?
It doesn't surprise me.	มันไม่แปลกใจเลยสำหรับฉัน
It's October the third.	วันนี้คือวันที่สามตุลาคม
Just follow your heart.	เพียงทำตามหัวใจของคุณ
Let me cut the carrots.	ฉันขอตัดแครอท
Let's sit on the grass.	มานั่งบนพื้นหญ้ากันเถอะ
Mind your own business!	ไปยุ่งกับเรื่องของตัวเองเถอะ
My wife died of cancer.	ภรรญาของฉันตายจากโรคมะเร็ง
Please teach me French.	โปรดสอนภาษาฝรั่งเศสให้ฉัน
Rabbits have long ears.	กระต่ายมีหูยาว
She begged him to stay.	เธอขอร้องให้เขาอยู่
She has a lot of money.	เธอมีเงินจำนวนมาก
She writes beautifully.	เธอเขียนอย่างสวยงาม
