Go.	သွား။
I think that you just answered your own question.	မင်း ကိုယ့် ကို ကိုယ် မေးခွန်း ပြန်ထုတ် ကြည့်ဦး။
That happened to you because you weren't careful.	ခင်ဗျား ကိုယ့် ကို ကိုယ် ဂရုမစိုက် လို့ ဒီလိုတွေ ဖြစ်ခဲ့ရတာ။
That happened to you because you weren't careful.	ခင်ဗျား ကိုယ့် ကို ကိုယ် ဂရုမစိုက် လို့ ဒါမျိုးတွေ ဖြစ်ခဲ့ရတာ။
Tom hardly spoke any French when I first met him.	ငါ သူနဲ့ စတွေ့ စက တွမ် ပြင်သစ် စကား သိပ် မပြောတတ် သေးဘူး။
We've decided to have a private wedding ceremony.	သီးသန့် မင်္ဂလာပွဲလေး ပဲ ကျင်းပ မယ်လို့ ငါတို့ ဆုံးဖြတ် လိုက် ပြီ။
I don't think that I got a good grade on the exam.	ကျွန်တော် စာမေးပွဲ မှာ အဆင့် ကောင်းကောင်း ရလိမ့် မယ် လို့ ကျွန်တော် မထင်ဘူး ဗျ။
I think that Mary is more beautiful than Alice is.	မယ်ရီ က အဲလစ် ထက် ပို လှတယ် လို့ ငါ ထင်တယ်။
I learned French by watching French programs on TV.	တီဗီ မှာ လာတဲ့ ပြင်သစ် အစီစဥ် တွေ ကြည့်ပြီး ပြင်သစ် စကား သင်ခဲ့တာ။
I checked my watch and realized I was an hour early.	ကျနော့် နာရီ ကြည့်တော့မှပဲ ကျနော် တနာရီ စော နေမှန်း သတိထားမိတော့တယ်။
I drank beer for the first time when I was thirteen.	ငါ ဆယ့်သုံးနှစ် သား မှာ ပထမဆုံး အကြိမ် ဘီယာ စသောက်ဖူး ခဲ့တယ်။
Tom has climbed mountains in many different countries.	တွမ်က နိုင်ငံ အတော်များများ မှာ တောင်တက် ခဲ့ တယ်။
It's hard to say what the weather will be like tomorrow.	နက်ဖြန် ရာသီဥတု အခြေအနေ ဘယ်လို ရှိမလဲ ဆိုတာ ပြောရခက်တယ်။
The reason that happened was because you weren't careful.	ခင်ဗျား ရဲ့ ဂရုမစိုက်မှု့ တွေကြောင့်သာ ဒီလိုမျိုးတွေ ဖြစ်ပျက်ခဲ့ ရတာ။
"Where did you leave your umbrella?" "I left it at school."	"နင့် ထီး ကို နင် ဘယ်မှာများ ထားခဲ့ ပြန်ပြီလဲ။" "ငါ အဲ့ဒါကို ကျောင်း မှာ ကျန်ခဲ့ တာ။"
I drank beer for the first time when I was thirteen years old.	ကျွန်တော် ဆယ့်သုံးနှစ် သား အရွယ်လောက်က ကျွန်တော် ပထမဦးဆုံး ဘီယာ ကို သောက်ဖူးခဲ့တာပဲ။
I drank beer for the first time when I was thirteen years old.	ငါ ဆယ့်သုံးနှစ် သား မှာ ပထမဆုံး အကြိမ် ဘီယာ စသောက်ဖူး ခဲ့တယ်။
You don't actually think I'm going to let you do that, do you?	ငါ နင့်ကို အဲ့ဒီလို လုပ်ခွင့် ပြုမယ် လို့ နင် တစ်ကယ် မထင်ခဲ့ဘူးမလား၊ ဟုတ်တယ်ဟုတ်။
The reason that happened to you was because you weren't careful.	ခင်ဗျား ဂရုမစိုက်ခဲ့ လို့သာ ခင်ဗျား မှာ ဒီလိုတွေ ဖြစ်ခဲ့ ရတာပဲ။
Tom fell off the dock because he wasn't looking where he was going.	တွမ်က သူသွား‌ နေတဲ့ နေရာ ကို မကြည့် သောကြောင့် ‌သင်္ဘောကျင်း မှာ လဲကျ ခဲ့တယ်။
Tom fell off the pier because he wasn't looking where he was going.	တွမ်က သူ သွား နေတဲ့ နေရာ ကို မကြည့်လို့ ဆိပ်ခံတံတား ပေါ်က ပြုတ်ကျခဲ့တယ်။
If you want something done right, sometimes you've just gotta do it yourself.	သင် အလုပ်တခုကို မှန်ကန်စွာ ပြီးမြောက်စေချင်လျှင်၊ တခါတရံ မိမိကိုယ်တိုင် လုပ်ဆောင်ရမည်ဖြစ်သည်။
